Country,Code,Date,Johns Hopkins,WHO (cases),ECDC (cases)
Afghanistan,AFG,31-Dec-19,,,0
Afghanistan,AFG,1-Jan-20,,,0
Afghanistan,AFG,2-Jan-20,,,0
Afghanistan,AFG,3-Jan-20,,,0
Afghanistan,AFG,4-Jan-20,,,0
Afghanistan,AFG,5-Jan-20,,,0
Afghanistan,AFG,6-Jan-20,,,0
Afghanistan,AFG,7-Jan-20,,,0
Afghanistan,AFG,8-Jan-20,,,0
Afghanistan,AFG,9-Jan-20,,,0
Afghanistan,AFG,10-Jan-20,,,0
Afghanistan,AFG,11-Jan-20,,,0
Afghanistan,AFG,12-Jan-20,,,0
Afghanistan,AFG,13-Jan-20,,,0
Afghanistan,AFG,14-Jan-20,,,0
Afghanistan,AFG,15-Jan-20,,,0
Afghanistan,AFG,16-Jan-20,,,0
Afghanistan,AFG,17-Jan-20,,,0
Afghanistan,AFG,18-Jan-20,,,0
Afghanistan,AFG,19-Jan-20,,,0
Afghanistan,AFG,20-Jan-20,,,0
Afghanistan,AFG,21-Jan-20,,,0
Afghanistan,AFG,22-Jan-20,0,,0
Afghanistan,AFG,23-Jan-20,0,,0
Afghanistan,AFG,24-Jan-20,0,,0
Afghanistan,AFG,25-Jan-20,0,,0
Afghanistan,AFG,26-Jan-20,0,,0
Afghanistan,AFG,27-Jan-20,0,,0
Afghanistan,AFG,28-Jan-20,0,,0
Afghanistan,AFG,29-Jan-20,0,,0
Afghanistan,AFG,30-Jan-20,0,,0
Afghanistan,AFG,31-Jan-20,0,,0
Afghanistan,AFG,1-Feb-20,0,,0
Afghanistan,AFG,2-Feb-20,0,,0
Afghanistan,AFG,3-Feb-20,0,,0
Afghanistan,AFG,4-Feb-20,0,,0
Afghanistan,AFG,5-Feb-20,0,,0
Afghanistan,AFG,6-Feb-20,0,,0
Afghanistan,AFG,7-Feb-20,0,,0
Afghanistan,AFG,8-Feb-20,0,,0
Afghanistan,AFG,9-Feb-20,0,,0
Afghanistan,AFG,10-Feb-20,0,,0
Afghanistan,AFG,11-Feb-20,0,,0
Afghanistan,AFG,12-Feb-20,0,,0
Afghanistan,AFG,13-Feb-20,0,,0
Afghanistan,AFG,14-Feb-20,0,,0
Afghanistan,AFG,15-Feb-20,0,,0
Afghanistan,AFG,16-Feb-20,0,,0
Afghanistan,AFG,17-Feb-20,0,,0
Afghanistan,AFG,18-Feb-20,0,,0
Afghanistan,AFG,19-Feb-20,0,,0
Afghanistan,AFG,20-Feb-20,0,,0
Afghanistan,AFG,21-Feb-20,0,,0
Afghanistan,AFG,22-Feb-20,0,,0
Afghanistan,AFG,23-Feb-20,0,,0
Afghanistan,AFG,24-Feb-20,1,,0
Afghanistan,AFG,25-Feb-20,1,1,1
Afghanistan,AFG,26-Feb-20,1,1,1
Afghanistan,AFG,27-Feb-20,1,1,1
Afghanistan,AFG,28-Feb-20,1,1,1
Afghanistan,AFG,29-Feb-20,1,1,1
Afghanistan,AFG,1-Mar-20,1,1,1
Afghanistan,AFG,2-Mar-20,1,1,1
Afghanistan,AFG,3-Mar-20,1,1,
Afghanistan,AFG,4-Mar-20,1,1,
Afghanistan,AFG,5-Mar-20,1,1,
Afghanistan,AFG,6-Mar-20,1,1,
Afghanistan,AFG,7-Mar-20,1,1,
Afghanistan,AFG,8-Mar-20,4,4,4
Afghanistan,AFG,9-Mar-20,4,4,
Afghanistan,AFG,10-Mar-20,5,4,
Afghanistan,AFG,11-Mar-20,7,4,7
Afghanistan,AFG,12-Mar-20,7,7,
Afghanistan,AFG,13-Mar-20,7,7,
Afghanistan,AFG,14-Mar-20,11,7,
Afghanistan,AFG,15-Mar-20,16,10,10
Afghanistan,AFG,16-Mar-20,21,16,16
Afghanistan,AFG,17-Mar-20,22,21,21
Afghanistan,AFG,18-Mar-20,22,,22
Afghanistan,AFG,19-Mar-20,,,22
Afghanistan,AFG,20-Mar-20,,,22
Afghanistan,AFG,21-Mar-20,,,24
Afghanistan,AFG,22-Mar-20,,,24
Afghanistan,AFG,23-Mar-20,,,34
Afghanistan,AFG,24-Mar-20,,,40
Afghanistan,AFG,25-Mar-20,,,42
Afghanistan,AFG,26-Mar-20,,,75
Afghanistan,AFG,27-Mar-20,,,75
Albania,ALB,22-Jan-20,0,,
Albania,ALB,23-Jan-20,0,,
Albania,ALB,24-Jan-20,0,,
Albania,ALB,25-Jan-20,0,,
Albania,ALB,26-Jan-20,0,,
Albania,ALB,27-Jan-20,0,,
Albania,ALB,28-Jan-20,0,,
Albania,ALB,29-Jan-20,0,,
Albania,ALB,30-Jan-20,0,,
Albania,ALB,31-Jan-20,0,,
Albania,ALB,1-Feb-20,0,,
Albania,ALB,2-Feb-20,0,,
Albania,ALB,3-Feb-20,0,,
Albania,ALB,4-Feb-20,0,,
Albania,ALB,5-Feb-20,0,,
Albania,ALB,6-Feb-20,0,,
Albania,ALB,7-Feb-20,0,,
Albania,ALB,8-Feb-20,0,,
Albania,ALB,9-Feb-20,0,,
Albania,ALB,10-Feb-20,0,,
Albania,ALB,11-Feb-20,0,,
Albania,ALB,12-Feb-20,0,,
Albania,ALB,13-Feb-20,0,,
Albania,ALB,14-Feb-20,0,,
Albania,ALB,15-Feb-20,0,,
Albania,ALB,16-Feb-20,0,,
Albania,ALB,17-Feb-20,0,,
Albania,ALB,18-Feb-20,0,,
